Property Name,Address,Area,Rental price,Property Type,Carpet area(sq ft),Contact,Maps link,url
Bare Shell Office Space,"in 7th Block West Jayanagar, Bangalore",14000,₹700000/Month,Commercial,N/A,Available after login,https://www.google.com/maps/search/?api=1&query=in%207th%20Block%20West%20Jayanagar%2C%20Bangalore,https://www.99acres.com/bare-shell-office-space-for-rent-lease-in-block-7-west-jayanagar-bangalore-south-14000-sq-ft-spid-G81316387
Industrial Lands/Plots for Lease,"in Bommasandra Industrial Area, Bangalore",N/A,N/A,N/A,N/A,Available after login,https://www.google.com/maps/search/?api=1&query=in%20Bommasandra%20Industrial%20Area%2C%20Bangalore,https://www.99acres.com/industrial-land-plot-for-rent-lease-in-bommasandra-industrial-area-bangalore-south-8470-sq-yard-spid-K78164843
WareHouse for Lease,"in Mulluru Sarjapur road, Bangalore., Sarjapur Road, Bangalore",N/A,N/A,N/A,N/A,Available after login,https://www.google.com/maps/search/?api=1&query=in%20Mulluru%20Sarjapur%20road%2C%20Bangalore.%2C%20Sarjapur%20Road%2C%20Bangalore,https://www.99acres.com/warehouse-for-rent-lease-in-sarjapur-road-bangalore-east-5000-sq-ft-spid-R81473317
Ready to move Office Space,"in Jakasandra Block, Koramangala",1400,₹83000/Month,Public and Semi Public Use,800,Available after login,https://www.google.com/maps/search/?api=1&query=in%20Jakasandra%20Block%2C%20Koramangala,https://www.99acres.com/ready-to-move-office-space-for-rent-lease-in-jakasandra-block-bangalore-south-1400-sq-ft-spid-S81853162
Co-working Office Space,"in Ardente Office One, Hoodi, Bangalore",N/A,N/A,N/A,N/A,Available after login,https://www.google.com/maps/search/?api=1&query=in%20Ardente%20Office%20One%2C%20Hoodi%2C%20Bangalore,https://www.99acres.com/coworking-space-for-rent-lease-in-ardente-office-one-hoodi-bangalore-east-5000-sq-ft-spid-C80743737
Commercial Land/Inst. Land for Lease,"in Attur Layout, Bellari Road",N/A,N/A,N/A,N/A,Available after login,https://www.google.com/maps/search/?api=1&query=in%20Attur%20Layout%2C%20Bellari%20Road,https://www.99acres.com/commercial-institutional-land-for-rent-lease-in-attur-layout-bangalore-north-533-sq-yard-spid-E82380944
Commercial Showrooms for Lease,"in 8th Phase JP Nagar, Bangalore",N/A,N/A,N/A,3500,Available after login,https://www.google.com/maps/search/?api=1&query=in%208th%20Phase%20JP%20Nagar%2C%20Bangalore,https://www.99acres.com/showroom-for-rent-lease-in-8th-phase-jp-nagar-bangalore-south-3600-sq-ft-spid-R82337634
Factory for Lease,"in Doddaballapura Shed 11 DITPL KIADB Apparel park, Doddaballapur Road, Bangalore",N/A,N/A,N/A,N/A,Available after login,https://www.google.com/maps/search/?api=1&query=in%20Doddaballapura%20Shed%2011%20DITPL%20KIADB%20Apparel%20park%2C%20Doddaballapur%20Road%2C%20Bangalore,https://www.99acres.com/factory-for-rent-lease-in-doddaballapur-road-bangalore-north-10000-sq-ft-spid-G82080180
WareHouse for Lease,"in IMMADIHALLI MAIN ROAD , Whitefield, Bangalore",N/A,N/A,N/A,N/A,Available after login,https://www.google.com/maps/search/?api=1&query=in%20IMMADIHALLI%20MAIN%20ROAD%20%2C%20Whitefield%2C%20Bangalore,https://www.99acres.com/warehouse-for-rent-lease-in-whitefield-bangalore-east-300-sq-ft-spid-D83622394
Bare Shell Office Space,"in Vijayanagar, Bangalore",1200,₹108000/Month,Commercial,N/A,Available after login,https://www.google.com/maps/search/?api=1&query=in%20Vijayanagar%2C%20Bangalore,https://www.99acres.com/bare-shell-office-space-for-rent-lease-in-vijayanagar-bangalore-west-1200-sq-ft-spid-K81560637
Commercial Showrooms for Lease,"in Kithaganur, Bangalore",N/A,N/A,N/A,6500,Available after login,https://www.google.com/maps/search/?api=1&query=in%20Kithaganur%2C%20Bangalore,https://www.99acres.com/showroom-for-rent-lease-in-kithaganur-bangalore-east-40000-sq-ft-spid-F82829068
Industrial Lands/Plots for Lease,"in Peenya, Tumkur Road",N/A,N/A,N/A,N/A,Available after login,https://www.google.com/maps/search/?api=1&query=in%20Peenya%2C%20Tumkur%20Road,https://www.99acres.com/industrial-land-plot-for-rent-lease-in-peenya-bangalore-west-5511-sq-yard-r2-spid-R21346732
Ready to move Office Space,"in Doddakallasandra, Kanakapura Road",2100,₹80000/Month,Commercial,1750,Available after login,https://www.google.com/maps/search/?api=1&query=in%20Doddakallasandra%2C%20Kanakapura%20Road,https://www.99acres.com/ready-to-move-office-space-for-rent-lease-in-doddakallasandra-bangalore-south-2100-sq-ft-r1-spid-T79934859
Bare Shell Office Space,"in 1st Block Koramangala, Bangalore",3400,₹330000/Month,Commercial,N/A,Available after login,https://www.google.com/maps/search/?api=1&query=in%201st%20Block%20Koramangala%2C%20Bangalore,https://www.99acres.com/bare-shell-office-space-for-rent-lease-in-1st-block-koramangala-bangalore-south-3400-sq-ft-spid-U81658724
WareHouse for Lease,"in Balepet, Avenue Road, Bangalore",N/A,N/A,N/A,N/A,Available after login,https://www.google.com/maps/search/?api=1&query=in%20Balepet%2C%20Avenue%20Road%2C%20Bangalore,https://www.99acres.com/warehouse-for-rent-lease-in-balepet-bangalore-central-18000-sq-ft-spid-J82990520
Ready to move Office Space,"in Sector 6 HSR Layout, Bangalore",N/A,₹480000/Month,Commercial,8000,Available after login,https://www.google.com/maps/search/?api=1&query=in%20Sector%206%20HSR%20Layout%2C%20Bangalore,https://www.99acres.com/ready-to-move-office-space-for-rent-lease-in-sector-6-hsr-layout-bangalore-south-8000-sq-ft-spid-I80141073
Commercial Shops for Lease,"in Horamavu, Bangalore",N/A,N/A,N/A,4000,Available after login,https://www.google.com/maps/search/?api=1&query=in%20Horamavu%2C%20Bangalore,https://www.99acres.com/shop-for-rent-lease-in-horamavu-bangalore-east-4000-sq-ft-r2-spid-P77514717
Ready to move Office Space,"in 80 Edifice, HAL 3rd Stage, Old Madras Road",N/A,₹70000/Month,Commercial,931,Available after login,https://www.google.com/maps/search/?api=1&query=in%2080%20Edifice%2C%20HAL%203rd%20Stage%2C%20Old%20Madras%20Road,https://www.99acres.com/ready-to-move-office-space-for-rent-lease-in-80-edifice-hal-3rd-stage-bangalore-east-931-sq-ft-spid-F83891874
Bare Shell Office Space,"in 3rd block,maruthi nagar, Maruthi Nagar, BTM Layout",3000,₹55000/Month,Commercial,1000,Available after login,https://www.google.com/maps/search/?api=1&query=in%203rd%20block%2Cmaruthi%20nagar%2C%20Maruthi%20Nagar%2C%20BTM%20Layout,https://www.99acres.com/bare-shell-office-space-for-rent-lease-in-maruthi-nagar-bangalore-south-3000-sq-ft-r1-spid-I79407347
Bare Shell Office Space,"in Banashankari 6th Stage 8th Block, Hemmigepura, Bangalore",3300,₹100000/Month,Commercial,N/A,Available after login,https://www.google.com/maps/search/?api=1&query=in%20Banashankari%206th%20Stage%208th%20Block%2C%20Hemmigepura%2C%20Bangalore,https://www.99acres.com/bare-shell-office-space-for-rent-lease-in-banashankari-stage-6-block-8-bangalore-south-3300-sq-ft-spid-B82960110
Ready to move Office Space,"in ITPL Discoverer Tower, ITPL, Bangalore",N/A,₹705000/Month,Commercial,7800,Available after login,https://www.google.com/maps/search/?api=1&query=in%20ITPL%20Discoverer%20Tower%2C%20ITPL%2C%20Bangalore,https://www.99acres.com/ready-to-move-office-space-for-rent-lease-in-itpl-bangalore-east-7800-sq-ft-spid-N81318471
Ready to move Office Space,"in White Field, EPIP Zone, Brookefield",5200,₹741000/Month,Industrial,4200,Available after login,https://www.google.com/maps/search/?api=1&query=in%20White%20Field%2C%20EPIP%20Zone%2C%20Brookefield,https://www.99acres.com/ready-to-move-office-space-for-rent-lease-in-epip-zone-bangalore-east-5200-sq-ft-spid-M80300989
